year,ward,cost,category,program,description,category_street,pct_income_under25,pct_income_25_50,pct_income_50_100,pct_income_100_150,pct_income_over150,pct_white,pct_hispanic,pct_black,pct_asian,plurality
2023,49,$12077.65,Streets & Transportation,Sidewalk (2023),1844 W CHASE AVE,Pedestrian,32.8,25.99,26.21,9.1,5.9,56.92,20.15,28.42,5.9,white
2022,3,$2103.35,Streets & Transportation,Sidewalk (2022),1841 S CALUMET AVE,Pedestrian,33.11,16.03,23.03,13.22,14.61,23.16,4.82,63.03,9.81,black
2022,47,$0,Streets & Transportation,Street Speed Hump Replacement (2022),ON N HERMITAGE AVE FROM W GRACE ST (3800 N) TO W WAVELAND AVE (3700 N),Pedestrian,10.93,16.32,29.62,18.22,24.92,85.33,12.23,2.65,5.58,white
2014,32,$2881,Streets & Transportation,Sidewalk Menu,ON N HOYNE AVE FROM W BARRY AVE (3100 N) TO W WELLINGTON AVE (3000 N),Pedestrian,9.23,9.96,25.5,18.8,36.51,85.84,17.77,2.84,5.47,white
2022,28,$1400,Streets & Transportation,Alley Speed Hump (2022),W TAYLOR ST & S LOOMIS ST&S LAFLIN ST & W FILLMORE ST,Pedestrian,46.4,21.73,21.03,5.57,5.26,14.92,8.19,74.88,4.71,black
2019,32,$86243.58,Streets & Transportation,Street Resurfacing (2019),ON W BARRY AVE FROM N SOUTHPORT AVE (1399 W) TO N ASHLAND AVE (1600 W),Car,9.23,9.96,25.5,18.8,36.51,85.84,17.77,2.84,5.47,white
2018,28,$165000,Lighting,Street Light Residential Staggered Piggy Back (2018),ON W MAYPOLE AVE FROM N KENTON AVE (4600 W) TO N CICERO AVE (4800 W),NA,46.4,21.73,21.03,5.57,5.26,14.92,8.19,74.88,4.71,black
2017,36,$0,Streets & Transportation,Street Speed Hump Replacement (2017),ON N MEADE AVE FROM W FULLERTON AVE (2400 N) TO W GRAND AVE (2230 N),Pedestrian,20.57,27.98,31.27,13.76,6.43,55.91,68.97,3.5,4.11,hispanic
2016,16,$3700,Streets & Transportation,Street Speed Hump Menu,ON S GREEN ST FROM W 60TH ST (6000 S) TO W 61ST ST (6100 S),Pedestrian,44.72,29.07,20.18,4.36,1.67,17.16,41.78,55.68,0.32,black
2022,36,$4661.71,Streets & Transportation,Curb & Gutter (2022),6226 W EDDY ST,Car,20.57,27.98,31.27,13.76,6.43,55.91,68.97,3.5,4.11,hispanic
2012,32,$54783,Streets & Transportation,Street Resurfacing Menu,ON W FLETCHER ST FROM N HOYNE AV (2100 W) TO N LEAVITT ST (2200 W),Car,9.23,9.96,25.5,18.8,36.51,85.84,17.77,2.84,5.47,white
