year,ward,cost,category,program,description,category_street,pct_income_under25,pct_income_25_50,pct_income_50_100,pct_income_100_150,pct_income_over150,pct_white,pct_hispanic,pct_black,pct_asian,plurality
2021,18,$121241.38,Streets & Transportation,Street Resurfacing (1-5) (2021),ON W 77TH PL FROM S KENTON AVE (4600 W) TO S KOSTNER AVE (4400 W),Car,19.31,22.82,35.66,15.31,6.9,31.36,33.12,47.8,0.61,black
2013,26,$295000,Streets & Transportation,Concrete Alley Menu,N HAMLIN AVE & N AVERS AVE & W NORTH AVE & W LE MOYNE ST,Car,26.98,24.24,27.84,12.06,8.88,49.68,60.68,11.7,1.66,hispanic
2012,13,$204750,Lighting,Street Light Residential Staggered Piggy Back Menu,ON MENARD FROM W 60 ST (6000 S) TO W 63 ST (6300 S),NA,16.64,25.68,34.07,15.91,7.7,61.67,66.53,2.43,0.42,hispanic
2021,36,$42151.94,Streets & Transportation,Alley Resurfacing (2021),N MOBILE AVE & W DICKENS AVE&W PALMER ST & N MULLIGAN AVE,Car,20.57,27.98,31.27,13.76,6.43,55.91,68.97,3.5,4.11,hispanic
2017,1,$3700,Streets & Transportation,Street Speed Hump (2017),ON W SUPERIOR ST FROM N DAMEN AVE (2000 W) TO N WOLCOTT AVE (1900 W),Pedestrian,17.54,15.25,28.21,17.65,21.34,78.92,34.38,5.54,4.02,white
2012,43,$12955,Streets & Transportation,Sidewalk Menu,ON W DIVERSEY AVE FROM N SHEFFIELD AVE (1000 W) TO N MILDRED AVE (900 W),Pedestrian,13.54,10.77,27.47,18.03,30.2,83.93,5.6,5.01,6.96,white
2012,45,$5991,Streets & Transportation,Sidewalk Menu,ON N MULLIGAN AVE FROM W BALMORAL AVE (5400 N) TO W CATALPA AVE (5500 N),Pedestrian,16.16,20.11,32.72,16.95,14.06,77.63,26.87,1.62,7.96,white
2021,39,$54725.97,Streets & Transportation,Street Resurfacing (2021),ON N KNOX AVE FROM N HIAWATHA AVE (6100 N) TO N IONIA AVE (6200 N),Car,17.7,19.27,28.5,16.32,18.22,66.88,23.4,2.66,19,white
2017,46,$3430.32,Streets & Transportation,Sidewalk (2017),800 W HUTCHINSON ST,Pedestrian,27.39,18.54,27.77,14.4,11.9,67.71,12.88,18.39,7.65,white
2023,31,$6367.05,Streets & Transportation,Arterial Street Bump Outs (2023),N LARAMIE AVE & W CORNELIA AVE,Car,26.42,25.25,30.96,11.43,5.94,53.55,76.84,3.18,1.92,hispanic
2019,29,$0,Streets & Transportation,Alley Speed Hump Replacement (2019),W VAN BUREN ST & S CICERO AVE&W GLADYS AVE & S LAVERGNE AVE,Pedestrian,31.14,23.4,26.19,10.36,8.9,37.78,23.98,48.36,1.48,black
2013,42,$110619,Streets & Transportation,Street Resurfacing Menu,ON W ERIE ST FROM N ORLEANS ST (332 W) TO N KINGSBURY ST (530 W),Car,12.23,8.49,25.32,18.39,35.57,73.34,5.98,4.62,18.51,white
2022,36,$7573.83,Streets & Transportation,Street Traffic Circle (2022),2400 N NEWLAND AVE; W ALTGELD ST & N NEWLAND AVE,Car,20.57,27.98,31.27,13.76,6.43,55.91,68.97,3.5,4.11,hispanic
2022,28,$7272.69,Streets & Transportation,Collector Street - Miscellaneous Concrete (2022),ON S ALBANY AVE FROM W HARRISON ST (600 S) TO W ROOSEVELT RD (1200 S),Car,46.4,21.73,21.03,5.57,5.26,14.92,8.19,74.88,4.71,black
2022,28,$2350,Streets & Transportation,Street Speed Hump (2022),ON N KILDARE AVE FROM W WASHINGTON BLVD (100 N) TO W WEST END AVE (200 N),Pedestrian,46.4,21.73,21.03,5.57,5.26,14.92,8.19,74.88,4.71,black
2022,48,$2377.7,Streets & Transportation,Curb & Gutter (2022),5300 N WAYNE AVE,Car,27.55,24.5,27.89,10.81,9.25,66.05,14.5,14.91,12.94,white
2023,46,$0,Streets & Transportation,Street Speed Hump Replacement (2023),ON N MAGNOLIA AVE FROM W SUNNYSIDE AVE (4500 N) TO W WILSON AVE (4600 N),Pedestrian,27.39,18.54,27.77,14.4,11.9,67.71,12.88,18.39,7.65,white
2014,17,$60395,Streets & Transportation,Curb & Gutter Menu,ON S OAKLEY AVE FROM W 70TH ST (7000 S) TO W 71ST ST (7100 S),Car,41.31,30.79,20.74,5.09,2.07,9.5,19.79,75.48,0.29,black
2017,15,$1850,Streets & Transportation,Street Speed Hump (2017),ON W 48TH ST FROM S WOLCOTT AVE (1900 W) TO S HONORE ST (1830 W),Pedestrian,36.61,34.26,22,4.99,2.13,45.96,73.88,19.26,1.98,hispanic
2013,8,$31573,Streets & Transportation,Sidewalk Menu,ON S CHAPPEL AVE FROM E 80 ST (8000 S) TO E 81 ST (8100 S),Pedestrian,38.52,25.69,24.18,8.08,3.53,1.62,1.21,96.77,0.24,black
2019,1,$2797.96,Streets & Transportation,Sidewalk (2019),2727 W HADDON AVE,Pedestrian,17.54,15.25,28.21,17.65,21.34,78.92,34.38,5.54,4.02,white
2019,21,$27722.71,Streets & Transportation,Sidewalk (2019),9106-9110 S LAFLIN ST,Pedestrian,37.97,23.43,25.98,8.59,4.02,1.18,1.15,96.84,0.24,black
2021,15,$0,Streets & Transportation,Alley Speed Hump Replacement (2021),W 42ND ST & S FAIRFIELD AVE&S CALIFORNIA AVE & W POPE JOHN PAUL II DR,Pedestrian,36.61,34.26,22,4.99,2.13,45.96,73.88,19.26,1.98,hispanic
2022,23,$1527.75,Streets & Transportation,Sidewalk (2022),3741 W 57TH ST,Pedestrian,18.88,25.87,32.15,15.59,7.51,62.46,68.36,2.28,1.61,hispanic
2020,3,$300,Streets & Transportation,Miscellaneous CDOT Projects (2020),4250 S WABASH AVE,Car,33.11,16.03,23.03,13.22,14.61,23.16,4.82,63.03,9.81,black
2018,33,$0,Streets & Transportation,Alley Speed Hump Replacement (2017),W BYRON ST & N FRANCISCO AVE:W IRVING PARK RD & N RICHMOND ST,Pedestrian,19.94,24.22,29.62,14.15,12.08,71.64,47.93,4.41,9.26,white
2020,15,$27618.94,Streets & Transportation,Alley Apron (2020),ON W 66TH ST FROM S HERMITAGE AVE (1730 W) TO S PAULINA ST (1700 W),Car,36.61,34.26,22,4.99,2.13,45.96,73.88,19.26,1.98,hispanic
2023,41,$11178.06,Streets & Transportation,Miscellaneous CDOT Projects (2023),W HIGGINS AVE & N OCTAVIA AVE,Car,17.36,17.73,30.52,16.4,17.99,86.31,14.1,1.16,5.21,white
2016,24,$6073,Streets & Transportation,Alley Apron Menu,1916 S MILLARD AVE,Car,45.5,27.1,20.35,5.37,1.68,13.02,22,74.93,0.28,black
2017,27,$69618.91,Streets & Transportation,Alley Resurfacing (2017),700 N ST LOUIS AVE:N ST LOUIS AVE & W CHICAGO AVE&N DRAKE AVE & W HURON ST,Car,32.28,14.93,21.22,13.39,18.19,36.97,14.4,47.37,5.17,black
2020,45,$35629.46,Streets & Transportation,Alley Resurfacing (1-1) (2020),5600 W GUNNISON ST; 4848 N CENTRAL AVE; N CENTRAL AVE & W GUNNISON ST&W,Car,16.16,20.11,32.72,16.95,14.06,77.63,26.87,1.62,7.96,white
2021,25,$7050,Streets & Transportation,Street Speed Hump (2021),ON W 17TH ST FROM S RACINE AVE (1200 W) TO S CARPENTER ST (1100 W),Pedestrian,27.08,20.27,25.88,12.03,14.74,52.65,48.07,8.27,15.29,white
2023,49,$11644.18,Streets & Transportation,Sidewalk (2023),1243-1247 W COLUMBIA AVE,Pedestrian,32.8,25.99,26.21,9.1,5.9,56.92,20.15,28.42,5.9,white
2020,25,$61825.38,Streets & Transportation,Street Resurfacing (2020),ON W CULLERTON ST FROM S PAULINA ST (1700 W) TO S WOOD ST (1800 W),Car,27.08,20.27,25.88,12.03,14.74,52.65,48.07,8.27,15.29,white
2016,45,$2395,Streets & Transportation,Sidewalk Menu,5622 W GROVER ST,Pedestrian,16.16,20.11,32.72,16.95,14.06,77.63,26.87,1.62,7.96,white
2021,33,$500,Lighting,Street Light Upgrade (2021),3652 N ALBANY AVE,NA,19.94,24.22,29.62,14.15,12.08,71.64,47.93,4.41,9.26,white
2023,1,$95717.96,Streets & Transportation,Street Resurfacing (2023),ON N WICKER PARK AVE FROM W EVERGREEN AVE (1400 N) TO N DAMEN AVE (1550 N),Car,17.54,15.25,28.21,17.65,21.34,78.92,34.38,5.54,4.02,white
2023,48,$14306.93,Streets & Transportation,Alley Resurfacing (2023),N MARINE DR & W MARGATE TER&W AINSLIE ST & N MCCUTCHEON TER,Car,27.55,24.5,27.89,10.81,9.25,66.05,14.5,14.91,12.94,white
2022,42,$0,Streets & Transportation,Street Speed Hump Replacement (2022),ON N PARK DR FROM E SOUTH WATER ST (220 N) TO E BENTON PL (170 N),Pedestrian,12.23,8.49,25.32,18.39,35.57,73.34,5.98,4.62,18.51,white
2014,41,$41405,Streets & Transportation,Street Resurfacing Menu,ON W PETERSON AVE FROM N HARLEM AVE (7200 W) TO N WEST CIRCLE AVE (7044 W),Car,17.36,17.73,30.52,16.4,17.99,86.31,14.1,1.16,5.21,white
2014,19,$42241,Streets & Transportation,Street Resurfacing Menu,ON S TRUMBULL AVE FROM W 103RD ST (10300 S) TO W,Car,13.31,18.49,31.9,18.22,18.09,73.18,10.68,19.71,1.42,white
2014,45,$20552,Streets & Transportation,Sidewalk Menu,ON W STRONG ST FROM N LAMON AVE (4900 W) TO N LAVERGNE AVE (5000 W),Pedestrian,16.16,20.11,32.72,16.95,14.06,77.63,26.87,1.62,7.96,white
2020,48,$1652.07,Streets & Transportation,Sidewalk (2020),1414-1416 W THOME AVE; W THOME AVE & N GLENWOOD AVE&N GREENVIEW AVE & W,Pedestrian,27.55,24.5,27.89,10.81,9.25,66.05,14.5,14.91,12.94,white
2021,29,$4700,Streets & Transportation,Street Speed Hump (2021),ON W OHIO ST FROM N WALLER AVE (5700 W) TO N MENARD AVE (5800 W),Pedestrian,31.14,23.4,26.19,10.36,8.9,37.78,23.98,48.36,1.48,black
2018,23,$27011,Security Cameras,POD CAMERA - 53rd & Harlem,S HARLEM AVE & W 53RD ST,NA,18.88,25.87,32.15,15.59,7.51,62.46,68.36,2.28,1.61,hispanic
2019,40,$212500,Streets & Transportation,Street Resurfacing (2019),ON N CLARK ST FROM W FOSTER AVE (5200 N) TO W BRYN MAWR AVE (5600 N),Car,20.79,22.92,26.56,15.06,14.67,67.28,21.87,6.39,16.86,white
2015,23,$6839,Streets & Transportation,Sidewalk Menu,ON SRRAGANSETT AVE FROM W 53RD ST (5300 S) TO W 54TH ST (5400 S),Pedestrian,18.88,25.87,32.15,15.59,7.51,62.46,68.36,2.28,1.61,hispanic
2015,25,$32974,Streets & Transportation,Street Resurfacing Menu,ON S ABERDEEN ST FROM W POLK ST (800 S) TO W CONGRESS PKWY (600 S),Car,27.08,20.27,25.88,12.03,14.74,52.65,48.07,8.27,15.29,white
2019,37,$12056.52,Streets & Transportation,Street Resurfacing (2019),ON N LOCKWOOD AVE FROM W LAKE ST (360 N) TO W KINZIE ST (400 N),Car,40.7,27.9,23.41,5.49,2.5,8.04,26,71.26,0.37,black
2023,35,$1400,Beautification,Street Light Pole Painting (2023),ON N ST LOUIS AVE FROM W BARRY AVE (3100 N) TO W BELMONT AVE (3200 N),NA,25.68,25.63,28.81,11.76,8.11,65.3,65.61,5.04,5.74,hispanic
2012,35,$550,Streets & Transportation,In-Road 'State Law Stop For Pedestrians' Signs Menu,N MILWAUKEE AVE & N DAWSON AVE,Pedestrian,25.68,25.63,28.81,11.76,8.11,65.3,65.61,5.04,5.74,hispanic
2014,6,$600,Streets & Transportation,In-Road 'State Law Stop For Pedestrians' Signs Menu,E 75TH ST & S LANGLEY AVE,Pedestrian,45.01,23.37,23.7,5.03,2.89,1.19,1.82,96.38,0.07,black
2018,26,$50731.53,Streets & Transportation,Street Resurfacing (2018),ON N FAIRFIELD AVE FROM W LE MOYNE ST (1500 N) TO W NORTH AVE (1600 N),Car,26.98,24.24,27.84,12.06,8.88,49.68,60.68,11.7,1.66,hispanic
2014,34,$30990,Streets & Transportation,Sidewalk Menu,ON W 98TH ST FROM S LOWE AVE (630 W) TO S UNION AVE (700 W),Pedestrian,33.38,24,27.52,11.02,4.07,2.88,3.5,93.01,0.19,black
