artist,song,line_number,text,stanza,source_url
Aesop Rock & Blockhead,Difficult,41,Y'all trippin' (Ayy),5,https://www.azlyrics.com/lyrics/aesoprock/difficult.html
Aesop Rock & Blockhead,Difficult,42,"Every time an influencer offers advice, I feel years coming off of my life",6,https://www.azlyrics.com/lyrics/aesoprock/difficult.html
Aesop Rock & Blockhead,Difficult,43,I feel blood shooting out of my ears,6,https://www.azlyrics.com/lyrics/aesoprock/difficult.html
Aesop Rock & Blockhead,Difficult,44,"Still, I'm apparently a sucker for these houses of mirrors, okay",6,https://www.azlyrics.com/lyrics/aesoprock/difficult.html
Aesop Rock & Blockhead,Difficult,45,"Homeboy, I could turn a dollar into two",6,https://www.azlyrics.com/lyrics/aesoprock/difficult.html
Aesop Rock & Blockhead,Difficult,46,"With no job, all I do is hit a pot with a spoon",6,https://www.azlyrics.com/lyrics/aesoprock/difficult.html
Aesop Rock & Blockhead,Difficult,47,To anybody clocking to copy his every move,6,https://www.azlyrics.com/lyrics/aesoprock/difficult.html
Aesop Rock & Blockhead,Difficult,48,Catch a birdie from the window of a rocket to the moon,6,https://www.azlyrics.com/lyrics/aesoprock/difficult.html
Aesop Rock & Blockhead,Difficult,49,Got a double-wide enclosure at the back of the zoo,6,https://www.azlyrics.com/lyrics/aesoprock/difficult.html
Aesop Rock & Blockhead,Difficult,50,"Got a cat named Kirby, she could rap good too",6,https://www.azlyrics.com/lyrics/aesoprock/difficult.html
Aesop Rock & Blockhead,Difficult,51,"Gadzooks, it'd behoove you to slow that roll",6,https://www.azlyrics.com/lyrics/aesoprock/difficult.html
Aesop Rock & Blockhead,Difficult,52,Around here we turn jokers into smoking holes,6,https://www.azlyrics.com/lyrics/aesoprock/difficult.html
Aesop Rock & Blockhead,Difficult,53,"I'm a fever dream, I seen trouble nobody knows",6,https://www.azlyrics.com/lyrics/aesoprock/difficult.html
Aesop Rock & Blockhead,Difficult,54,Still show his home county how a nova explodes,6,https://www.azlyrics.com/lyrics/aesoprock/difficult.html
Aesop Rock & Blockhead,Difficult,55,That's a whole lot of woah on the stove,6,https://www.azlyrics.com/lyrics/aesoprock/difficult.html
Aesop Rock & Blockhead,Difficult,56,"That's a whole lotta holes in your prose, gross",6,https://www.azlyrics.com/lyrics/aesoprock/difficult.html
Aesop Rock & Blockhead,Difficult,57,Folk say I'm difficult,7,https://www.azlyrics.com/lyrics/aesoprock/difficult.html
Aesop Rock & Blockhead,Difficult,58,I'm too defiant,7,https://www.azlyrics.com/lyrics/aesoprock/difficult.html
Aesop Rock & Blockhead,Difficult,59,"It's funny, I'm real easy",7,https://www.azlyrics.com/lyrics/aesoprock/difficult.html
Aesop Rock & Blockhead,Difficult,60,Y'all wildin',7,https://www.azlyrics.com/lyrics/aesoprock/difficult.html
Aesop Rock,Infinity Fill Goose Down,1,"The brand reads ""Animal Farm""",1,https://www.azlyrics.com/lyrics/aesoprock/infinityfillgoosedown.html
Aesop Rock,Infinity Fill Goose Down,2,"A fugee on the lam, runnin' with a lamb in my arms",1,https://www.azlyrics.com/lyrics/aesoprock/infinityfillgoosedown.html
Aesop Rock,Infinity Fill Goose Down,3,Trail of rabbits harboring the farmer's brand of cigars,1,https://www.azlyrics.com/lyrics/aesoprock/infinityfillgoosedown.html
Aesop Rock,Infinity Fill Goose Down,4,"And cattle after, after that it's like a ramp to an arc",1,https://www.azlyrics.com/lyrics/aesoprock/infinityfillgoosedown.html
Aesop Rock,Infinity Fill Goose Down,5,"Planned a garlic salmon, already romancing the fingerlings",1,https://www.azlyrics.com/lyrics/aesoprock/infinityfillgoosedown.html
Aesop Rock,Infinity Fill Goose Down,6,"When reminded why the ringer's off, it only ever ""ring ring ring""",1,https://www.azlyrics.com/lyrics/aesoprock/infinityfillgoosedown.html
Aesop Rock,Infinity Fill Goose Down,7,Out of radio silence a bad miracle,1,https://www.azlyrics.com/lyrics/aesoprock/infinityfillgoosedown.html
Aesop Rock,Infinity Fill Goose Down,8,"Panic in the paradigm, attacking the familiar world",1,https://www.azlyrics.com/lyrics/aesoprock/infinityfillgoosedown.html
Aesop Rock,Infinity Fill Goose Down,9,"Evacuate, bleeding heart, I had to let the horses out",1,https://www.azlyrics.com/lyrics/aesoprock/infinityfillgoosedown.html
Aesop Rock,Infinity Fill Goose Down,10,Who each step forward to bow free to ignore the corral,1,https://www.azlyrics.com/lyrics/aesoprock/infinityfillgoosedown.html
Aesop Rock,Infinity Fill Goose Down,11,"Freedom ain't a circle per the management's ""normal amount""",1,https://www.azlyrics.com/lyrics/aesoprock/infinityfillgoosedown.html
Aesop Rock,Infinity Fill Goose Down,12,It's when the chorus vow to normalize the horse's mouth,1,https://www.azlyrics.com/lyrics/aesoprock/infinityfillgoosedown.html
Aesop Rock,Infinity Fill Goose Down,13,Black Philip free to b-a-a what he b-a-a's,1,https://www.azlyrics.com/lyrics/aesoprock/infinityfillgoosedown.html
Aesop Rock,Infinity Fill Goose Down,14,From a growing blob of jail-broken oxen and hogs,1,https://www.azlyrics.com/lyrics/aesoprock/infinityfillgoosedown.html
Aesop Rock,Infinity Fill Goose Down,15,I know some pigs'll splinter off I seen 'em mixing with the bosses,1,https://www.azlyrics.com/lyrics/aesoprock/infinityfillgoosedown.html
Aesop Rock,Infinity Fill Goose Down,16,"Sipping gin, as if the trough is less prestigious than the office",1,https://www.azlyrics.com/lyrics/aesoprock/infinityfillgoosedown.html
Aesop Rock,Infinity Fill Goose Down,17,"It isn't, receiving a transmission from the future",1,https://www.azlyrics.com/lyrics/aesoprock/infinityfillgoosedown.html
Aesop Rock,Infinity Fill Goose Down,18,Where your time around them humans ain't protect you from they butcher's Block,1,https://www.azlyrics.com/lyrics/aesoprock/infinityfillgoosedown.html
Aesop Rock,Infinity Fill Goose Down,19,A bunch of us are meeting at the moor behind the the Orkin,1,https://www.azlyrics.com/lyrics/aesoprock/infinityfillgoosedown.html
Aesop Rock,Infinity Fill Goose Down,20,You coulda been a presence at the origin,1,https://www.azlyrics.com/lyrics/aesoprock/infinityfillgoosedown.html
Aesop Rock,Infinity Fill Goose Down,21,Should you feel unsettled or some melting into madness,1,https://www.azlyrics.com/lyrics/aesoprock/infinityfillgoosedown.html
Aesop Rock,Infinity Fill Goose Down,22,After entertaining more second chances than Velma's glasses,1,https://www.azlyrics.com/lyrics/aesoprock/infinityfillgoosedown.html
Aesop Rock,Infinity Fill Goose Down,23,From a person place or otherwise increasingly disruptive trend,1,https://www.azlyrics.com/lyrics/aesoprock/infinityfillgoosedown.html
Aesop Rock,Infinity Fill Goose Down,24,"You could always run the red, or break the glass or jump the fence, yea",1,https://www.azlyrics.com/lyrics/aesoprock/infinityfillgoosedown.html
Aesop Rock,Infinity Fill Goose Down,25,It was always all of a sudden,2,https://www.azlyrics.com/lyrics/aesoprock/infinityfillgoosedown.html
Aesop Rock,Infinity Fill Goose Down,26,All's well 'til it's all of his palm on the button,2,https://www.azlyrics.com/lyrics/aesoprock/infinityfillgoosedown.html
Aesop Rock,Infinity Fill Goose Down,27,I am always into something,2,https://www.azlyrics.com/lyrics/aesoprock/infinityfillgoosedown.html
Aesop Rock,Infinity Fill Goose Down,28,I am always into something,2,https://www.azlyrics.com/lyrics/aesoprock/infinityfillgoosedown.html
Aesop Rock,Infinity Fill Goose Down,29,It was always all a whodunnit,3,https://www.azlyrics.com/lyrics/aesoprock/infinityfillgoosedown.html
Aesop Rock,Infinity Fill Goose Down,30,"All told, it was all of us up 'til it wasn't",3,https://www.azlyrics.com/lyrics/aesoprock/infinityfillgoosedown.html
Aesop Rock,Infinity Fill Goose Down,31,I am always into something,3,https://www.azlyrics.com/lyrics/aesoprock/infinityfillgoosedown.html
Aesop Rock,Infinity Fill Goose Down,32,I am always into something,3,https://www.azlyrics.com/lyrics/aesoprock/infinityfillgoosedown.html
Aesop Rock,Infinity Fill Goose Down,33,I am always into something,4,https://www.azlyrics.com/lyrics/aesoprock/infinityfillgoosedown.html
Aesop Rock,Infinity Fill Goose Down,34,I am always into something,5,https://www.azlyrics.com/lyrics/aesoprock/infinityfillgoosedown.html
Aesop Rock,Infinity Fill Goose Down,35,I am always into something,6,https://www.azlyrics.com/lyrics/aesoprock/infinityfillgoosedown.html
